date,hour,pm25,hour,temp,hour,humidity
1/2/2025,1:00,69.2,1:00,25,1:00,69
1/2/2025,2:00,69.3,2:00,25,2:00,74
1/2/2025,3:00,66.1,3:00,25,3:00,76
1/2/2025,4:00,66.3,4:00,24,4:00,78
1/2/2025,5:00,65.9,5:00,24,5:00,80
1/2/2025,6:00,71.4,6:00,24,6:00,82
1/2/2025,7:00,87.6,7:00,22,7:00,82
1/2/2025,8:00,91.7,8:00,23,8:00,76
1/2/2025,9:00,97.9,9:00,25,9:00,64
1/2/2025,10:00,91.7,10:00,28,10:00,57
1/2/2025,11:00,94.6,11:00,30,11:00,47
1/2/2025,12:00,82.8,12:00,31,12:00,40
1/2/2025,13:00,76.1,13:00,32,13:00,36
1/2/2025,14:00,72.1,14:00,34,14:00,29
1/2/2025,15:00,65.9,15:00,35,15:00,25
1/2/2025,16:00,64.7,16:00,35,16:00,25
1/2/2025,17:00,64.3,17:00,33,17:00,29
1/2/2025,18:00,66.2,18:00,31,18:00,32
1/2/2025,19:00,63.4,19:00,30,19:00,41
1/2/2025,20:00,66.4,20:00,28,20:00,46
1/2/2025,21:00,68,21:00,27,21:00,57
1/2/2025,22:00,62.2,22:00,27,22:00,64
1/2/2025,23:00,65.8,23:00,26,23:00,68
1/2/2025,0:00,62.9,0:00,26,0:00,72
2/2/2025,1:00,58.8,1:00,26,1:00,78
2/2/2025,2:00,58.7,2:00,25,2:00,80
2/2/2025,3:00,54.6,3:00,25,3:00,81
2/2/2025,4:00,58.1,4:00,25,4:00,83
2/2/2025,5:00,58.5,5:00,25,5:00,85
2/2/2025,6:00,60.2,6:00,24,6:00,86
2/2/2025,7:00,65.4,7:00,23,7:00,87
2/2/2025,8:00,78.1,8:00,23,8:00,81
2/2/2025,9:00,93.6,9:00,25,9:00,70
2/2/2025,10:00,91.4,10:00,28,10:00,60
2/2/2025,11:00,90.5,11:00,31,11:00,49
2/2/2025,12:00,83,12:00,32,12:00,43
2/2/2025,13:00,77.8,13:00,34,13:00,36
2/2/2025,14:00,66.1,14:00,35,14:00,32
2/2/2025,15:00,65.6,15:00,35,15:00,30
2/2/2025,16:00,60.5,16:00,34,16:00,32
2/2/2025,17:00,56.5,17:00,33,17:00,34
2/2/2025,18:00,50.9,18:00,32,18:00,40
2/2/2025,19:00,50.5,19:00,30,19:00,46
2/2/2025,20:00,53.9,20:00,29,20:00,55
2/2/2025,21:00,53.5,21:00,28,21:00,67
2/2/2025,22:00,53,22:00,27,22:00,71
2/2/2025,23:00,53,23:00,27,23:00,76
2/2/2025,0:00,50.8,0:00,26,0:00,79
3/2/2025,1:00,51.5,1:00,26,1:00,82
3/2/2025,2:00,47.6,2:00,26,2:00,83
3/2/2025,3:00,48.9,3:00,26,3:00,85
3/2/2025,4:00,45.6,4:00,25,4:00,84
3/2/2025,5:00,41.1,5:00,25,5:00,85
3/2/2025,6:00,53.1,6:00,25,6:00,85
3/2/2025,7:00,63.8,7:00,25,7:00,85
3/2/2025,8:00,68.2,8:00,25,8:00,83
3/2/2025,9:00,82.1,9:00,27,9:00,74
3/2/2025,10:00,85.6,10:00,28,10:00,67
3/2/2025,11:00,74.1,11:00,31,11:00,54
3/2/2025,12:00,80.9,12:00,33,12:00,43
3/2/2025,13:00,71.2,13:00,34,13:00,33
3/2/2025,14:00,65.3,14:00,0,14:00,0
3/2/2025,15:00,58.3,15:00,0,15:00,0
3/2/2025,16:00,56.3,16:00,0,16:00,0
3/2/2025,17:00,55.2,17:00,0,17:00,0
3/2/2025,18:00,48.7,18:00,0,18:00,0
3/2/2025,19:00,46.9,19:00,0,19:00,0
3/2/2025,20:00,62.3,20:00,0,20:00,0
3/2/2025,21:00,64.2,21:00,0,21:00,0
3/2/2025,22:00,58.3,22:00,0,22:00,0
3/2/2025,23:00,57.4,23:00,0,23:00,0
3/2/2025,0:00,64.2,0:00,0,0:00,0
4/2/2025,1:00,49.7,1:00,0,1:00,0
4/2/2025,2:00,54.1,2:00,0,2:00,0
4/2/2025,3:00,53.3,3:00,0,3:00,0
4/2/2025,4:00,59.6,4:00,0,4:00,0
4/2/2025,5:00,48.1,5:00,0,5:00,0
4/2/2025,6:00,51.7,6:00,0,6:00,0
4/2/2025,7:00,,7:00,0,7:00,0
4/2/2025,8:00,,8:00,0,8:00,0
4/2/2025,9:00,,9:00,0,9:00,0
4/2/2025,10:00,43.7,10:00,0,10:00,0
4/2/2025,11:00,54.2,11:00,0,11:00,0
4/2/2025,12:00,53,12:00,31,12:00,42
4/2/2025,13:00,48,13:00,31,13:00,39
4/2/2025,14:00,46,14:00,32,14:00,38
4/2/2025,15:00,54.9,15:00,32,15:00,37
4/2/2025,16:00,50,16:00,32,16:00,38
4/2/2025,17:00,49,17:00,32,17:00,40
4/2/2025,18:00,49,18:00,31,18:00,41
4/2/2025,19:00,49,19:00,30,19:00,42
4/2/2025,20:00,55,20:00,29,20:00,45
4/2/2025,21:00,51,21:00,29,21:00,46
4/2/2025,22:00,54,22:00,28,22:00,50
4/2/2025,23:00,60,23:00,28,23:00,53
4/2/2025,0:00,69.9,0:00,27,0:00,56
5/2/2025,1:00,64.1,1:00,26,1:00,54
5/2/2025,2:00,47.2,2:00,26,2:00,54
5/2/2025,3:00,51,3:00,26,3:00,56
5/2/2025,4:00,52,4:00,25,4:00,56
5/2/2025,5:00,48,5:00,25,5:00,58
5/2/2025,6:00,56.9,6:00,25,6:00,59
5/2/2025,7:00,60,7:00,24,7:00,61
5/2/2025,8:00,70,8:00,25,8:00,60
5/2/2025,9:00,64.1,9:00,26,9:00,56
5/2/2025,10:00,61,10:00,27,10:00,49
5/2/2025,11:00,58,11:00,30,11:00,38
5/2/2025,12:00,33.2,12:00,31,12:00,35
5/2/2025,13:00,45,13:00,32,13:00,35
5/2/2025,14:00,39.1,14:00,32,14:00,34
5/2/2025,15:00,52.9,15:00,32,15:00,33
5/2/2025,16:00,50,16:00,32,16:00,34
5/2/2025,17:00,45,17:00,32,17:00,34
5/2/2025,18:00,50,18:00,32,18:00,35
5/2/2025,19:00,49,19:00,31,19:00,39
5/2/2025,20:00,37.1,20:00,30,20:00,40
5/2/2025,21:00,55.9,21:00,29,21:00,55
5/2/2025,22:00,72.8,22:00,28,22:00,66
5/2/2025,23:00,51,23:00,27,23:00,74
5/2/2025,0:00,44.1,0:00,27,0:00,75
6/2/2025,1:00,40,1:00,27,1:00,77
6/2/2025,2:00,32.1,2:00,26,2:00,78
6/2/2025,3:00,23.1,3:00,26,3:00,80
6/2/2025,4:00,30.9,4:00,26,4:00,82
6/2/2025,5:00,35,5:00,26,5:00,82
6/2/2025,6:00,40.9,6:00,26,6:00,83
6/2/2025,7:00,44,7:00,25,7:00,85
6/2/2025,8:00,59.9,8:00,25,8:00,81
6/2/2025,9:00,65.9,9:00,27,9:00,70
6/2/2025,10:00,85.8,10:00,29,10:00,64
6/2/2025,11:00,62.2,11:00,31,11:00,53
6/2/2025,12:00,61,12:00,31,12:00,51
6/2/2025,13:00,51.1,13:00,33,13:00,43
6/2/2025,14:00,44.1,14:00,34,14:00,38
6/2/2025,15:00,50,15:00,34,15:00,35
6/2/2025,16:00,50,16:00,33,16:00,38
6/2/2025,17:00,56,17:00,32,17:00,43
6/2/2025,18:00,56,18:00,31,18:00,47
6/2/2025,19:00,53,19:00,30,19:00,53
6/2/2025,20:00,50,20:00,29,20:00,61
6/2/2025,21:00,45,21:00,28,21:00,66
6/2/2025,22:00,47,22:00,28,22:00,68
6/2/2025,23:00,40.1,23:00,27,23:00,70
6/2/2025,0:00,38,0:00,27,0:00,72
7/2/2025,1:00,37,1:00,27,1:00,74
7/2/2025,2:00,40,2:00,27,2:00,77
7/2/2025,3:00,39,3:00,27,3:00,78
